Key,RprtDt,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppCatg,PrtcpntCnt
81601,30SEP2022,ALL,ABI,0 to 6,ALL,13
81602,30SEP2022,ALL,ABI,0 to 6,Capacity Building,13
81603,30SEP2022,ALL,ABI,0 to 6,Capital,11
81604,30SEP2022,ALL,ABI,0 to 6,Core,11
81605,30SEP2022,ALL,ABI,15 to 18,ALL,43
81606,30SEP2022,ALL,ABI,15 to 18,Capacity Building,43
81607,30SEP2022,ALL,ABI,15 to 18,Capital,21
81608,30SEP2022,ALL,ABI,15 to 18,Core,41
81609,30SEP2022,ALL,ABI,19 to 24,ALL,59
81610,30SEP2022,ALL,ABI,19 to 24,Capacity Building,58
81611,30SEP2022,ALL,ABI,19 to 24,Capital,21
81612,30SEP2022,ALL,ABI,19 to 24,Core,56
81613,30SEP2022,ALL,ABI,25 to 34,ALL,168
81614,30SEP2022,ALL,ABI,25 to 34,Capacity Building,163
81615,30SEP2022,ALL,ABI,25 to 34,Capital,65
81616,30SEP2022,ALL,ABI,25 to 34,Core,163
81617,30SEP2022,ALL,ABI,35 to 44,ALL,235
81618,30SEP2022,ALL,ABI,35 to 44,Capacity Building,233
81619,30SEP2022,ALL,ABI,35 to 44,Capital,94
81620,30SEP2022,ALL,ABI,35 to 44,Core,227
81621,30SEP2022,ALL,ABI,45 to 54,ALL,342
81622,30SEP2022,ALL,ABI,45 to 54,Capacity Building,341
81623,30SEP2022,ALL,ABI,45 to 54,Capital,187
81624,30SEP2022,ALL,ABI,45 to 54,Core,338
81625,30SEP2022,ALL,ABI,55 to 64,ALL,394
81626,30SEP2022,ALL,ABI,55 to 64,Capacity Building,390
81627,30SEP2022,ALL,ABI,55 to 64,Capital,236
81628,30SEP2022,ALL,ABI,55 to 64,Core,392
81629,30SEP2022,ALL,ABI,65+,ALL,120
81630,30SEP2022,ALL,ABI,65+,Capacity Building,120
81631,30SEP2022,ALL,ABI,65+,Capital,74
81632,30SEP2022,ALL,ABI,65+,Core,119
81633,30SEP2022,ALL,ABI,7 to 14,ALL,72
81634,30SEP2022,ALL,ABI,7 to 14,Capacity Building,72
81635,30SEP2022,ALL,ABI,7 to 14,Capital,34
81636,30SEP2022,ALL,ABI,7 to 14,Core,64
81637,30SEP2022,ALL,ABI,ALL,ALL,1446
81638,30SEP2022,ALL,ABI,ALL,Capacity Building,1433
81639,30SEP2022,ALL,ABI,ALL,Capital,740
81640,30SEP2022,ALL,ABI,ALL,Core,1411
