Key,RprtDt,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppCatg,Utlstn,PrvdrCnt
81601,30SEP2022,ALL,ABI,0 to 6,ALL,75,47.0
81602,30SEP2022,ALL,ABI,0 to 6,Capacity Building,66,26.0
81605,30SEP2022,ALL,ABI,15 to 18,ALL,84,98.0
81606,30SEP2022,ALL,ABI,15 to 18,Capacity Building,66,64.0
81607,30SEP2022,ALL,ABI,15 to 18,Capital,40,22.0
81608,30SEP2022,ALL,ABI,15 to 18,Core,95,47.0
81609,30SEP2022,ALL,ABI,19 to 24,ALL,75,187.0
81610,30SEP2022,ALL,ABI,19 to 24,Capacity Building,56,118.0
81611,30SEP2022,ALL,ABI,19 to 24,Capital,59,34.0
81612,30SEP2022,ALL,ABI,19 to 24,Core,80,90.0
81613,30SEP2022,ALL,ABI,25 to 34,ALL,78,302.0
81614,30SEP2022,ALL,ABI,25 to 34,Capacity Building,64,191.0
81615,30SEP2022,ALL,ABI,25 to 34,Capital,48,65.0
81616,30SEP2022,ALL,ABI,25 to 34,Core,82,164.0
81617,30SEP2022,ALL,ABI,35 to 44,ALL,75,378.0
81618,30SEP2022,ALL,ABI,35 to 44,Capacity Building,61,227.0
81619,30SEP2022,ALL,ABI,35 to 44,Capital,39,86.0
81620,30SEP2022,ALL,ABI,35 to 44,Core,79,227.0
81621,30SEP2022,ALL,ABI,45 to 54,ALL,82,466.0
81622,30SEP2022,ALL,ABI,45 to 54,Capacity Building,67,260.0
81623,30SEP2022,ALL,ABI,45 to 54,Capital,39,118.0
81624,30SEP2022,ALL,ABI,45 to 54,Core,87,314.0
81625,30SEP2022,ALL,ABI,55 to 64,ALL,77,511.0
81626,30SEP2022,ALL,ABI,55 to 64,Capacity Building,67,290.0
81627,30SEP2022,ALL,ABI,55 to 64,Capital,39,130.0
81628,30SEP2022,ALL,ABI,55 to 64,Core,81,331.0
81629,30SEP2022,ALL,ABI,65+,ALL,76,248.0
81630,30SEP2022,ALL,ABI,65+,Capacity Building,70,132.0
81631,30SEP2022,ALL,ABI,65+,Capital,36,68.0
81632,30SEP2022,ALL,ABI,65+,Core,79,163.0
81633,30SEP2022,ALL,ABI,7 to 14,ALL,64,131.0
81634,30SEP2022,ALL,ABI,7 to 14,Capacity Building,73,79.0
81635,30SEP2022,ALL,ABI,7 to 14,Capital,33,42.0
81636,30SEP2022,ALL,ABI,7 to 14,Core,62,68.0
81637,30SEP2022,ALL,ABI,ALL,ALL,78,833.0
81638,30SEP2022,ALL,ABI,ALL,Capacity Building,66,486.0
81639,30SEP2022,ALL,ABI,ALL,Capital,40,218.0
81640,30SEP2022,ALL,ABI,ALL,Core,82,555.0
81641,30SEP2022,ALL,ALL,0 to 6,ALL,66,798.0
81642,30SEP2022,ALL,ALL,0 to 6,Capacity Building,62,604.0
81643,30SEP2022,ALL,ALL,0 to 6,Capital,70,201.0
81644,30SEP2022,ALL,ALL,0 to 6,Core,76,311.0
81645,30SEP2022,ALL,ALL,15 to 18,ALL,63,813.0
