SrvcDstrctNm,DsbltyGrpNm,AgeBnd,PrtcpntCnt,SuppCatg,RprtDt,Key
ALL,ABI,0 to 6,13,ALL,30SEP2022,81601
ALL,ABI,0 to 6,13,Capacity Building,30SEP2022,81602
ALL,ABI,0 to 6,11,Capital,30SEP2022,81603
ALL,ABI,0 to 6,11,Core,30SEP2022,81604
ALL,ABI,15 to 18,43,ALL,30SEP2022,81605
ALL,ABI,15 to 18,43,Capacity Building,30SEP2022,81606
ALL,ABI,15 to 18,21,Capital,30SEP2022,81607
ALL,ABI,15 to 18,41,Core,30SEP2022,81608
ALL,ABI,19 to 24,59,ALL,30SEP2022,81609
ALL,ABI,19 to 24,58,Capacity Building,30SEP2022,81610
ALL,ABI,19 to 24,21,Capital,30SEP2022,81611
ALL,ABI,19 to 24,56,Core,30SEP2022,81612
ALL,ABI,25 to 34,168,ALL,30SEP2022,81613
ALL,ABI,25 to 34,163,Capacity Building,30SEP2022,81614
ALL,ABI,25 to 34,65,Capital,30SEP2022,81615
ALL,ABI,25 to 34,163,Core,30SEP2022,81616
ALL,ABI,35 to 44,235,ALL,30SEP2022,81617
ALL,ABI,35 to 44,233,Capacity Building,30SEP2022,81618
ALL,ABI,35 to 44,94,Capital,30SEP2022,81619
ALL,ABI,35 to 44,227,Core,30SEP2022,81620
ALL,ABI,45 to 54,342,ALL,30SEP2022,81621
ALL,ABI,45 to 54,341,Capacity Building,30SEP2022,81622
ALL,ABI,45 to 54,187,Capital,30SEP2022,81623
ALL,ABI,45 to 54,338,Core,30SEP2022,81624
ALL,ABI,55 to 64,394,ALL,30SEP2022,81625
ALL,ABI,55 to 64,390,Capacity Building,30SEP2022,81626
ALL,ABI,55 to 64,236,Capital,30SEP2022,81627
ALL,ABI,55 to 64,392,Core,30SEP2022,81628
ALL,ABI,65+,120,ALL,30SEP2022,81629
ALL,ABI,65+,120,Capacity Building,30SEP2022,81630
ALL,ABI,65+,74,Capital,30SEP2022,81631
ALL,ABI,65+,119,Core,30SEP2022,81632
ALL,ABI,7 to 14,72,ALL,30SEP2022,81633
ALL,ABI,7 to 14,72,Capacity Building,30SEP2022,81634
ALL,ABI,7 to 14,34,Capital,30SEP2022,81635
ALL,ABI,7 to 14,64,Core,30SEP2022,81636
ALL,ABI,ALL,1446,ALL,30SEP2022,81637
ALL,ABI,ALL,1433,Capacity Building,30SEP2022,81638
ALL,ABI,ALL,740,Capital,30SEP2022,81639
ALL,ABI,ALL,1411,Core,30SEP2022,81640
ALL,ALL,0 to 6,5444,ALL,30SEP2022,81641
ALL,ALL,0 to 6,5439,Capacity Building,30SEP2022,81642
ALL,ALL,0 to 6,1113,Capital,30SEP2022,81643
ALL,ALL,0 to 6,4782,Core,30SEP2022,81644
ALL,ALL,15 to 18,4459,ALL,30SEP2022,81645
ALL,ALL,15 to 18,4383,Capacity Building,30SEP2022,81646
ALL,ALL,15 to 18,656,Capital,30SEP2022,81647
ALL,ALL,15 to 18,3370,Core,30SEP2022,81648
ALL,ALL,19 to 24,4411,ALL,30SEP2022,81649
ALL,ALL,19 to 24,4259,Capacity Building,30SEP2022,81650
ALL,ALL,19 to 24,742,Capital,30SEP2022,81651
ALL,ALL,19 to 24,3964,Core,30SEP2022,81652
ALL,ALL,25 to 34,4849,ALL,30SEP2022,81653
ALL,ALL,25 to 34,4708,Capacity Building,30SEP2022,81654
ALL,ALL,25 to 34,1161,Capital,30SEP2022,81655
ALL,ALL,25 to 34,4638,Core,30SEP2022,81656
ALL,ALL,35 to 44,3973,ALL,30SEP2022,81657
ALL,ALL,35 to 44,3892,Capacity Building,30SEP2022,81658
ALL,ALL,35 to 44,1267,Capital,30SEP2022,81659
ALL,ALL,35 to 44,3876,Core,30SEP2022,81660
ALL,ALL,45 to 54,4559,ALL,30SEP2022,81661
ALL,ALL,45 to 54,4465,Capacity Building,30SEP2022,81662
ALL,ALL,45 to 54,1868,Capital,30SEP2022,81663
ALL,ALL,45 to 54,4490,Core,30SEP2022,81664
ALL,ALL,55 to 64,5491,ALL,30SEP2022,81665
ALL,ALL,55 to 64,5411,Capacity Building,30SEP2022,81666
ALL,ALL,55 to 64,2817,Capital,30SEP2022,81667
ALL,ALL,55 to 64,5442,Core,30SEP2022,81668
ALL,ALL,65+,1815,ALL,30SEP2022,81669
ALL,ALL,65+,1782,Capacity Building,30SEP2022,81670
ALL,ALL,65+,1076,Capital,30SEP2022,81671
ALL,ALL,65+,1806,Core,30SEP2022,81672
ALL,ALL,7 to 14,11474,ALL,30SEP2022,81673
ALL,ALL,7 to 14,11384,Capacity Building,30SEP2022,81674
ALL,ALL,7 to 14,1776,Capital,30SEP2022,81675
ALL,ALL,7 to 14,8234,Core,30SEP2022,81676
ALL,ALL,ALL,46475,ALL,30SEP2022,81677
ALL,ALL,ALL,45723,Capacity Building,30SEP2022,81678
ALL,ALL,ALL,12476,Capital,30SEP2022,81679
ALL,ALL,ALL,40602,Core,30SEP2022,81680
ALL,Autism,0 to 6,1732,ALL,30SEP2022,81681
ALL,Autism,0 to 6,1730,Capacity Building,30SEP2022,81682
ALL,Autism,0 to 6,319,Capital,30SEP2022,81683
ALL,Autism,0 to 6,1577,Core,30SEP2022,81684
ALL,Autism,15 to 18,2842,ALL,30SEP2022,81685
ALL,Autism,15 to 18,2799,Capacity Building,30SEP2022,81686
ALL,Autism,15 to 18,172,Capital,30SEP2022,81687
ALL,Autism,15 to 18,1993,Core,30SEP2022,81688
ALL,Autism,19 to 24,2163,ALL,30SEP2022,81689
ALL,Autism,19 to 24,2105,Capacity Building,30SEP2022,81690
ALL,Autism,19 to 24,165,Capital,30SEP2022,81691
ALL,Autism,19 to 24,1854,Core,30SEP2022,81692
ALL,Autism,25 to 34,1235,ALL,30SEP2022,81693
ALL,Autism,25 to 34,1189,Capacity Building,30SEP2022,81694
ALL,Autism,25 to 34,133,Capital,30SEP2022,81695
ALL,Autism,25 to 34,1131,Core,30SEP2022,81696
ALL,Autism,35 to 44,451,ALL,30SEP2022,81697
ALL,Autism,35 to 44,439,Capacity Building,30SEP2022,81698
ALL,Autism,35 to 44,54,Capital,30SEP2022,81699
ALL,Autism,35 to 44,420,Core,30SEP2022,81700
ALL,Autism,45 to 54,191,ALL,30SEP2022,81701
ALL,Autism,45 to 54,187,Capacity Building,30SEP2022,81702
ALL,Autism,45 to 54,29,Capital,30SEP2022,81703
ALL,Autism,45 to 54,180,Core,30SEP2022,81704
ALL,Autism,55 to 64,83,ALL,30SEP2022,81705
ALL,Autism,55 to 64,81,Capacity Building,30SEP2022,81706
ALL,Autism,55 to 64,15,Capital,30SEP2022,81707
ALL,Autism,55 to 64,78,Core,30SEP2022,81708
ALL,Autism,65+,17,ALL,30SEP2022,81709
ALL,Autism,65+,16,Capacity Building,30SEP2022,81710
ALL,Autism,65+,11,Capital,30SEP2022,81711
ALL,Autism,65+,17,Core,30SEP2022,81712
ALL,Autism,7 to 14,8018,ALL,30SEP2022,81713
ALL,Autism,7 to 14,7988,Capacity Building,30SEP2022,81714
ALL,Autism,7 to 14,688,Capital,30SEP2022,81715
ALL,Autism,7 to 14,5460,Core,30SEP2022,81716
ALL,Autism,ALL,16732,ALL,30SEP2022,81717
ALL,Autism,ALL,16534,Capacity Building,30SEP2022,81718
ALL,Autism,ALL,1580,Capital,30SEP2022,81719
ALL,Autism,ALL,12710,Core,30SEP2022,81720
ALL,Cerebral Palsy,0 to 6,221,ALL,30SEP2022,81721
ALL,Cerebral Palsy,0 to 6,221,Capacity Building,30SEP2022,81722
ALL,Cerebral Palsy,0 to 6,182,Capital,30SEP2022,81723
ALL,Cerebral Palsy,0 to 6,216,Core,30SEP2022,81724
ALL,Cerebral Palsy,15 to 18,198,ALL,30SEP2022,81725
ALL,Cerebral Palsy,15 to 18,197,Capacity Building,30SEP2022,81726
ALL,Cerebral Palsy,15 to 18,138,Capital,30SEP2022,81727
ALL,Cerebral Palsy,15 to 18,186,Core,30SEP2022,81728
ALL,Cerebral Palsy,19 to 24,201,ALL,30SEP2022,81729
ALL,Cerebral Palsy,19 to 24,201,Capacity Building,30SEP2022,81730
ALL,Cerebral Palsy,19 to 24,146,Capital,30SEP2022,81731
ALL,Cerebral Palsy,19 to 24,192,Core,30SEP2022,81732
ALL,Cerebral Palsy,25 to 34,239,ALL,30SEP2022,81733
ALL,Cerebral Palsy,25 to 34,238,Capacity Building,30SEP2022,81734
ALL,Cerebral Palsy,25 to 34,189,Capital,30SEP2022,81735
ALL,Cerebral Palsy,25 to 34,235,Core,30SEP2022,81736
ALL,Cerebral Palsy,35 to 44,168,ALL,30SEP2022,81737
ALL,Cerebral Palsy,35 to 44,167,Capacity Building,30SEP2022,81738
ALL,Cerebral Palsy,35 to 44,140,Capital,30SEP2022,81739
ALL,Cerebral Palsy,35 to 44,168,Core,30SEP2022,81740
ALL,Cerebral Palsy,45 to 54,153,ALL,30SEP2022,81741
ALL,Cerebral Palsy,45 to 54,153,Capacity Building,30SEP2022,81742
ALL,Cerebral Palsy,45 to 54,129,Capital,30SEP2022,81743
ALL,Cerebral Palsy,45 to 54,153,Core,30SEP2022,81744
ALL,Cerebral Palsy,55 to 64,112,ALL,30SEP2022,81745
ALL,Cerebral Palsy,55 to 64,112,Capacity Building,30SEP2022,81746
ALL,Cerebral Palsy,55 to 64,99,Capital,30SEP2022,81747
ALL,Cerebral Palsy,55 to 64,112,Core,30SEP2022,81748
ALL,Cerebral Palsy,65+,29,ALL,30SEP2022,81749
ALL,Cerebral Palsy,65+,29,Capacity Building,30SEP2022,81750
ALL,Cerebral Palsy,65+,27,Capital,30SEP2022,81751
ALL,Cerebral Palsy,65+,29,Core,30SEP2022,81752
ALL,Cerebral Palsy,7 to 14,428,ALL,30SEP2022,81753
ALL,Cerebral Palsy,7 to 14,427,Capacity Building,30SEP2022,81754
ALL,Cerebral Palsy,7 to 14,327,Capital,30SEP2022,81755
ALL,Cerebral Palsy,7 to 14,391,Core,30SEP2022,81756
ALL,Cerebral Palsy,ALL,1749,ALL,30SEP2022,81757
ALL,Cerebral Palsy,ALL,1745,Capacity Building,30SEP2022,81758
ALL,Cerebral Palsy,ALL,1377,Capital,30SEP2022,81759
ALL,Cerebral Palsy,ALL,1682,Core,30SEP2022,81760
ALL,Developmental delay,0 to 6,1862,ALL,30SEP2022,81761
ALL,Developmental delay,0 to 6,1860,Capacity Building,30SEP2022,81762
ALL,Developmental delay,0 to 6,183,Capital,30SEP2022,81763
ALL,Developmental delay,0 to 6,1543,Core,30SEP2022,81764
ALL,Developmental delay,7 to 14,211,ALL,30SEP2022,81793
ALL,Developmental delay,7 to 14,210,Capacity Building,30SEP2022,81794
ALL,Developmental delay,7 to 14,13,Capital,30SEP2022,81795
ALL,Developmental delay,7 to 14,124,Core,30SEP2022,81796
ALL,Developmental delay,ALL,2073,ALL,30SEP2022,81797
ALL,Developmental delay,ALL,2070,Capacity Building,30SEP2022,81798
ALL,Developmental delay,ALL,196,Capital,30SEP2022,81799
ALL,Developmental delay,ALL,1667,Core,30SEP2022,81800
ALL,Global developmental delay,0 to 6,819,ALL,30SEP2022,81801
ALL,Global developmental delay,0 to 6,819,Capacity Building,30SEP2022,81802
ALL,Global developmental delay,0 to 6,135,Capital,30SEP2022,81803
ALL,Global developmental delay,0 to 6,683,Core,30SEP2022,81804
ALL,Global developmental delay,15 to 18,11,ALL,30SEP2022,81805
ALL,Global developmental delay,15 to 18,11,Capacity Building,30SEP2022,81806
ALL,Global developmental delay,15 to 18,11,Core,30SEP2022,81808
ALL,Global developmental delay,7 to 14,376,ALL,30SEP2022,81833
ALL,Global developmental delay,7 to 14,376,Capacity Building,30SEP2022,81834
ALL,Global developmental delay,7 to 14,54,Capital,30SEP2022,81835
ALL,Global developmental delay,7 to 14,237,Core,30SEP2022,81836
ALL,Global developmental delay,ALL,1196,ALL,30SEP2022,81837
ALL,Global developmental delay,ALL,1196,Capacity Building,30SEP2022,81838
ALL,Global developmental delay,ALL,189,Capital,30SEP2022,81839
ALL,Global developmental delay,ALL,921,Core,30SEP2022,81840
ALL,Hearing Impairment,0 to 6,287,ALL,30SEP2022,81841
ALL,Hearing Impairment,0 to 6,286,Capacity Building,30SEP2022,81842
ALL,Hearing Impairment,0 to 6,19,Capital,30SEP2022,81843
ALL,Hearing Impairment,0 to 6,280,Core,30SEP2022,81844
ALL,Hearing Impairment,15 to 18,142,ALL,30SEP2022,81845
ALL,Hearing Impairment,15 to 18,118,Capacity Building,30SEP2022,81846
ALL,Hearing Impairment,15 to 18,14,Capital,30SEP2022,81847
ALL,Hearing Impairment,15 to 18,137,Core,30SEP2022,81848
ALL,Hearing Impairment,19 to 24,173,ALL,30SEP2022,81849
ALL,Hearing Impairment,19 to 24,129,Capacity Building,30SEP2022,81850
ALL,Hearing Impairment,19 to 24,21,Capital,30SEP2022,81851
ALL,Hearing Impairment,19 to 24,172,Core,30SEP2022,81852
ALL,Hearing Impairment,25 to 34,200,ALL,30SEP2022,81853
ALL,Hearing Impairment,25 to 34,183,Capacity Building,30SEP2022,81854
ALL,Hearing Impairment,25 to 34,70,Capital,30SEP2022,81855
ALL,Hearing Impairment,25 to 34,195,Core,30SEP2022,81856
ALL,Hearing Impairment,35 to 44,145,ALL,30SEP2022,81857
ALL,Hearing Impairment,35 to 44,139,Capacity Building,30SEP2022,81858
ALL,Hearing Impairment,35 to 44,58,Capital,30SEP2022,81859
ALL,Hearing Impairment,35 to 44,140,Core,30SEP2022,81860
ALL,Hearing Impairment,45 to 54,226,ALL,30SEP2022,81861
ALL,Hearing Impairment,45 to 54,215,Capacity Building,30SEP2022,81862
ALL,Hearing Impairment,45 to 54,82,Capital,30SEP2022,81863
ALL,Hearing Impairment,45 to 54,224,Core,30SEP2022,81864
ALL,Hearing Impairment,55 to 64,266,ALL,30SEP2022,81865
ALL,Hearing Impairment,55 to 64,253,Capacity Building,30SEP2022,81866
ALL,Hearing Impairment,55 to 64,95,Capital,30SEP2022,81867
ALL,Hearing Impairment,55 to 64,260,Core,30SEP2022,81868
ALL,Hearing Impairment,65+,68,ALL,30SEP2022,81869
ALL,Hearing Impairment,65+,62,Capacity Building,30SEP2022,81870
ALL,Hearing Impairment,65+,31,Capital,30SEP2022,81871
ALL,Hearing Impairment,65+,66,Core,30SEP2022,81872
ALL,Hearing Impairment,7 to 14,487,ALL,30SEP2022,81873
ALL,Hearing Impairment,7 to 14,437,Capacity Building,30SEP2022,81874
ALL,Hearing Impairment,7 to 14,56,Capital,30SEP2022,81875
ALL,Hearing Impairment,7 to 14,479,Core,30SEP2022,81876
ALL,Hearing Impairment,ALL,1994,ALL,30SEP2022,81877
ALL,Hearing Impairment,ALL,1822,Capacity Building,30SEP2022,81878
ALL,Hearing Impairment,ALL,446,Capital,30SEP2022,81879
ALL,Hearing Impairment,ALL,1953,Core,30SEP2022,81880
ALL,Intellectual Disability,0 to 6,359,ALL,30SEP2022,81881
ALL,Intellectual Disability,0 to 6,359,Capacity Building,30SEP2022,81882
ALL,Intellectual Disability,0 to 6,189,Capital,30SEP2022,81883
ALL,Intellectual Disability,0 to 6,335,Core,30SEP2022,81884
ALL,Intellectual Disability,15 to 18,974,ALL,30SEP2022,81885
